k,alpha,species,applied-region,Successes (# Pyroprints),Failures (# Pyroprints),NonDecisions (# Pyroprints),Total,Decision Accuracy(\%),Overall Accuracy(\%),
8,0.980,Chicken,16-23,0,40,0,40,0.000,0.000,
8,0.980,Chicken,23-5,9,33,0,42,21.429,21.429,
8,0.980,Sea Lion,16-23,0,2,0,2,0.000,0.000,
8,0.980,Sea Lion,23-5,1,3,0,4,25.000,25.000,
8,0.980,Hu and Cw,16-23,18,11,1,30,62.069,60.000,
8,0.980,Hu and Cw,23-5,6,24,0,30,20.000,20.000,
8,0.980,Sheep,16-23,52,52,0,104,50.000,50.000,
8,0.980,Sheep,23-5,60,36,2,98,62.500,61.224,
8,0.980,Hu and Dg,16-23,19,13,0,32,59.375,59.375,
8,0.980,Hu and Dg,23-5,20,10,0,30,66.667,66.667,
8,0.980,Common Loon,16-23,0,2,0,2,0.000,0.000,
8,0.980,Common Loon,23-5,0,2,0,2,0.000,0.000,
8,0.980,Red-Winged Blackbird,16-23,0,2,0,2,0.000,0.000,
8,0.980,Red-Winged Blackbird,23-5,0,2,0,2,0.000,0.000,
8,0.980,Cw,16-23,19,11,0,30,63.333,63.333,
8,0.980,Cw,23-5,22,8,0,30,73.333,73.333,
8,0.980,Cliff Sparrow,16-23,3,25,0,28,10.714,10.714,
8,0.980,Cliff Sparrow,23-5,0,29,0,29,0.000,0.000,
8,0.980,Pig,16-23,9,28,0,37,24.324,24.324,
8,0.980,Pig,23-5,5,29,0,34,14.706,14.706,
8,0.980,Barn Owl,16-23,0,0,0,0,NaN,NaN,
8,0.980,Barn Owl,23-5,0,2,0,2,0.000,0.000,
8,0.980,Wild Pig,16-23,1,15,1,17,6.250,5.882,
8,0.980,Wild Pig,23-5,1,9,0,10,10.000,10.000,
8,0.980,Pennington Creek Water,16-23,0,333,12,345,0.000,0.000,
8,0.980,Pennington Creek Water,23-5,0,429,36,465,0.000,0.000,
8,0.980,Guinni,16-23,0,0,0,0,NaN,NaN,
8,0.980,Guinni,23-5,0,2,0,2,0.000,0.000,
8,0.980,Racoon,16-23,0,2,0,2,0.000,0.000,
8,0.980,Racoon,23-5,0,3,0,3,0.000,0.000,
8,0.980,Hu,16-23,21,8,0,29,72.414,72.414,
8,0.980,Hu,23-5,20,11,0,31,64.516,64.516,
8,0.980,Cw and Dg,16-23,6,24,0,30,20.000,20.000,
8,0.980,Cw and Dg,23-5,17,13,0,30,56.667,56.667,
8,0.980,Red Wind Blackbird,16-23,0,2,0,2,0.000,0.000,
8,0.980,Red Wind Blackbird,23-5,0,2,0,2,0.000,0.000,
8,0.980,Tree Swallow,16-23,0,2,0,2,0.000,0.000,
8,0.980,Tree Swallow,23-5,0,2,0,2,0.000,0.000,
8,0.980,Turkey Vulture,16-23,0,2,0,2,0.000,0.000,
8,0.980,Turkey Vulture,23-5,0,3,0,3,0.000,0.000,
8,0.980,Dg,16-23,6,24,0,30,20.000,20.000,
8,0.980,Dg,23-5,28,2,0,30,93.333,93.333,
8,0.980,Western Kingbird,16-23,0,2,0,2,0.000,0.000,
8,0.980,Western Kingbird,23-5,0,2,0,2,0.000,0.000,
8,0.980,White Crowned Sparrow,16-23,0,15,0,15,0.000,0.000,
8,0.980,White Crowned Sparrow,23-5,1,14,0,15,6.667,6.667,
8,0.980,Eared Grebe,16-23,0,0,0,0,NaN,NaN,
8,0.980,Eared Grebe,23-5,0,4,0,4,0.000,0.000,
8,0.980,cougar,16-23,0,1,0,1,0.000,0.000,
8,0.980,cougar,23-5,0,0,1,1,NaN,0.000,
8,0.980,Ocean Water,16-23,0,0,0,0,NaN,NaN,
8,0.980,Ocean Water,23-5,0,10,0,10,0.000,0.000,
8,0.980,Red Tailed Hawk,16-23,0,2,0,2,0.000,0.000,
8,0.980,Red Tailed Hawk,23-5,0,3,0,3,0.000,0.000,
8,0.980,Dog,16-23,59,77,2,138,43.382,42.754,
8,0.980,Dog,23-5,103,86,0,189,54.497,54.497,
8,0.980,Human,16-23,1709,162,5,1876,91.342,91.098,
8,0.980,Human,23-5,2165,148,14,2327,93.601,93.038,
8,0.980,Wild Turkey,16-23,4,42,0,46,8.696,8.696,
8,0.980,Wild Turkey,23-5,4,35,0,39,10.256,10.256,
8,0.980,Clark Grebe,16-23,0,0,0,0,NaN,NaN,
8,0.980,Clark Grebe,23-5,0,2,0,2,0.000,0.000,
8,0.980,Seagull,16-23,0,0,0,0,NaN,NaN,
8,0.980,Seagull,23-5,8,59,0,67,11.940,11.940,
8,0.980,Surf Scoter,16-23,0,0,0,0,NaN,NaN,
8,0.980,Surf Scoter,23-5,2,0,0,2,100.000,100.000,
8,0.980,Pigeon,16-23,60,174,6,240,25.641,25.000,
8,0.980,Pigeon,23-5,95,191,5,291,33.217,32.646,
8,0.980,Pacific Ocean Water,16-23,0,46,0,46,0.000,0.000,
8,0.980,Pacific Ocean Water,23-5,0,45,5,50,0.000,0.000,
8,0.980,Cat,16-23,20,33,0,53,37.736,37.736,
8,0.980,Cat,23-5,23,40,0,63,36.508,36.508,
8,0.980,Horse,16-23,7,39,0,46,15.217,15.217,
8,0.980,Horse,23-5,34,53,0,87,39.080,39.080,
8,0.980,orangutan,16-23,0,1,0,1,0.000,0.000,
8,0.980,orangutan,23-5,0,1,0,1,0.000,0.000,
8,0.980,Bat,16-23,36,1,0,37,97.297,97.297,
8,0.980,Bat,23-5,37,1,0,38,97.368,97.368,
8,0.980,Deer,16-23,16,5,0,21,76.190,76.190,
8,0.980,Deer,23-5,18,3,1,22,85.714,81.818,
8,0.980,Great Horned Owl,16-23,0,3,0,3,0.000,0.000,
8,0.980,Great Horned Owl,23-5,0,7,0,7,0.000,0.000,
8,0.980,Freshwater Lagoon,16-23,0,0,0,0,NaN,NaN,
8,0.980,Freshwater Lagoon,23-5,0,4,0,4,0.000,0.000,
8,0.980,Unknown Avian,16-23,0,2,0,2,0.000,0.000,
8,0.980,Unknown Avian,23-5,0,2,0,2,0.000,0.000,
8,0.980,Human UTI,16-23,81,58,0,139,58.273,58.273,
8,0.980,Human UTI,23-5,103,35,3,141,74.638,73.050,
8,0.980,unknown,16-23,0,11,0,11,0.000,0.000,
8,0.980,unknown,23-5,3,8,0,11,27.273,27.273,
8,0.980,SLO Creek Water,16-23,0,846,30,876,0.000,0.000,
8,0.980,SLO Creek Water,23-5,0,1318,14,1332,0.000,0.000,
8,0.980,Pig/Swine,16-23,9,17,0,26,34.615,34.615,
8,0.980,Pig/Swine,23-5,10,13,2,25,43.478,40.000,
8,0.980,Klebsiella,16-23,0,0,0,0,NaN,NaN,
8,0.980,Klebsiella,23-5,0,0,0,0,NaN,NaN,
8,0.980,Hu Cw and Dg,16-23,16,14,0,30,53.333,53.333,
8,0.980,Hu Cw and Dg,23-5,16,14,0,30,53.333,53.333,
8,0.980,Ground Squirrel,16-23,95,75,4,174,55.882,54.598,
8,0.980,Ground Squirrel,23-5,88,89,0,177,49.718,49.718,
8,0.980,Opossum,16-23,0,6,0,6,0.000,0.000,
8,0.980,Opossum,23-5,0,6,0,6,0.000,0.000,
8,0.980,Cow,16-23,1527,251,11,1789,85.883,85.355,
8,0.980,Cow,23-5,1480,283,16,1779,83.948,83.193,
8,0.980,Deer Mouse,16-23,0,2,0,2,0.000,0.000,
8,0.980,Deer Mouse,23-5,0,2,0,2,0.000,0.000,
8,0.980,OVERALL,16-23,3793,2483,72,6348,60.437,59.751,
8,0.980,OVERALL,23-5,4379,3132,99,7610,58.301,57.543,
8,0.990,Chicken,16-23,2,35,3,40,5.405,5.000,
8,0.990,Chicken,23-5,10,32,0,42,23.810,23.810,
8,0.990,Sea Lion,16-23,0,2,0,2,0.000,0.000,
8,0.990,Sea Lion,23-5,2,2,0,4,50.000,50.000,
8,0.990,Hu and Cw,16-23,18,11,1,30,62.069,60.000,
8,0.990,Hu and Cw,23-5,8,22,0,30,26.667,26.667,
8,0.990,Sheep,16-23,51,51,2,104,50.000,49.038,
8,0.990,Sheep,23-5,61,34,3,98,64.211,62.245,
8,0.990,Hu and Dg,16-23,19,13,0,32,59.375,59.375,
8,0.990,Hu and Dg,23-5,20,10,0,30,66.667,66.667,
8,0.990,Common Loon,16-23,0,2,0,2,0.000,0.000,
8,0.990,Common Loon,23-5,0,2,0,2,0.000,0.000,
8,0.990,Red-Winged Blackbird,16-23,0,2,0,2,0.000,0.000,
8,0.990,Red-Winged Blackbird,23-5,0,2,0,2,0.000,0.000,
8,0.990,Cw,16-23,18,11,1,30,62.069,60.000,
8,0.990,Cw,23-5,22,8,0,30,73.333,73.333,
8,0.990,Cliff Sparrow,16-23,3,25,0,28,10.714,10.714,
8,0.990,Cliff Sparrow,23-5,0,28,1,29,0.000,0.000,
8,0.990,Pig,16-23,9,28,0,37,24.324,24.324,
8,0.990,Pig,23-5,9,24,1,34,27.273,26.471,
8,0.990,Barn Owl,16-23,0,0,0,0,NaN,NaN,
8,0.990,Barn Owl,23-5,0,2,0,2,0.000,0.000,
8,0.990,Wild Pig,16-23,1,15,1,17,6.250,5.882,
8,0.990,Wild Pig,23-5,1,8,1,10,11.111,10.000,
8,0.990,Pennington Creek Water,16-23,0,312,33,345,0.000,0.000,
8,0.990,Pennington Creek Water,23-5,0,391,74,465,0.000,0.000,
8,0.990,Guinni,16-23,0,0,0,0,NaN,NaN,
8,0.990,Guinni,23-5,0,2,0,2,0.000,0.000,
8,0.990,Racoon,16-23,0,2,0,2,0.000,0.000,
8,0.990,Racoon,23-5,0,3,0,3,0.000,0.000,
8,0.990,Hu,16-23,21,8,0,29,72.414,72.414,
8,0.990,Hu,23-5,20,11,0,31,64.516,64.516,
8,0.990,Cw and Dg,16-23,6,24,0,30,20.000,20.000,
8,0.990,Cw and Dg,23-5,18,12,0,30,60.000,60.000,
8,0.990,Red Wind Blackbird,16-23,0,2,0,2,0.000,0.000,
8,0.990,Red Wind Blackbird,23-5,0,2,0,2,0.000,0.000,
8,0.990,Tree Swallow,16-23,0,2,0,2,0.000,0.000,
8,0.990,Tree Swallow,23-5,0,2,0,2,0.000,0.000,
8,0.990,Turkey Vulture,16-23,0,2,0,2,0.000,0.000,
8,0.990,Turkey Vulture,23-5,0,3,0,3,0.000,0.000,
8,0.990,Dg,16-23,6,24,0,30,20.000,20.000,
8,0.990,Dg,23-5,28,2,0,30,93.333,93.333,
8,0.990,Western Kingbird,16-23,0,2,0,2,0.000,0.000,
8,0.990,Western Kingbird,23-5,0,2,0,2,0.000,0.000,
8,0.990,White Crowned Sparrow,16-23,0,15,0,15,0.000,0.000,
8,0.990,White Crowned Sparrow,23-5,1,14,0,15,6.667,6.667,
8,0.990,Eared Grebe,16-23,0,0,0,0,NaN,NaN,
8,0.990,Eared Grebe,23-5,0,4,0,4,0.000,0.000,
8,0.990,cougar,16-23,0,1,0,1,0.000,0.000,
8,0.990,cougar,23-5,0,0,1,1,NaN,0.000,
8,0.990,Ocean Water,16-23,0,0,0,0,NaN,NaN,
8,0.990,Ocean Water,23-5,0,10,0,10,0.000,0.000,
8,0.990,Red Tailed Hawk,16-23,0,2,0,2,0.000,0.000,
8,0.990,Red Tailed Hawk,23-5,0,3,0,3,0.000,0.000,
8,0.990,Dog,16-23,62,72,4,138,46.269,44.928,
8,0.990,Dog,23-5,105,81,3,189,56.452,55.556,
8,0.990,Human,16-23,1688,154,34,1876,91.640,89.979,
8,0.990,Human,23-5,2148,146,33,2327,93.636,92.308,
8,0.990,Wild Turkey,16-23,5,41,0,46,10.870,10.870,
8,0.990,Wild Turkey,23-5,4,31,4,39,11.429,10.256,
8,0.990,Clark Grebe,16-23,0,0,0,0,NaN,NaN,
8,0.990,Clark Grebe,23-5,2,0,0,2,100.000,100.000,
8,0.990,Seagull,16-23,0,0,0,0,NaN,NaN,
8,0.990,Seagull,23-5,13,52,2,67,20.000,19.403,
8,0.990,Surf Scoter,16-23,0,0,0,0,NaN,NaN,
8,0.990,Surf Scoter,23-5,2,0,0,2,100.000,100.000,
8,0.990,Pigeon,16-23,66,159,15,240,29.333,27.500,
8,0.990,Pigeon,23-5,100,179,12,291,35.842,34.364,
8,0.990,Pacific Ocean Water,16-23,0,41,5,46,0.000,0.000,
8,0.990,Pacific Ocean Water,23-5,0,38,12,50,0.000,0.000,
8,0.990,Cat,16-23,20,32,1,53,38.462,37.736,
8,0.990,Cat,23-5,23,39,1,63,37.097,36.508,
8,0.990,Horse,16-23,10,34,2,46,22.727,21.739,
8,0.990,Horse,23-5,33,53,1,87,38.372,37.931,
8,0.990,orangutan,16-23,0,1,0,1,0.000,0.000,
8,0.990,orangutan,23-5,0,1,0,1,0.000,0.000,
8,0.990,Bat,16-23,36,1,0,37,97.297,97.297,
8,0.990,Bat,23-5,37,1,0,38,97.368,97.368,
8,0.990,Deer,16-23,16,4,1,21,80.000,76.190,
8,0.990,Deer,23-5,18,2,2,22,90.000,81.818,
8,0.990,Great Horned Owl,16-23,0,3,0,3,0.000,0.000,
8,0.990,Great Horned Owl,23-5,0,7,0,7,0.000,0.000,
8,0.990,Freshwater Lagoon,16-23,0,0,0,0,NaN,NaN,
8,0.990,Freshwater Lagoon,23-5,0,4,0,4,0.000,0.000,
8,0.990,Unknown Avian,16-23,0,2,0,2,0.000,0.000,
8,0.990,Unknown Avian,23-5,0,2,0,2,0.000,0.000,
8,0.990,Human UTI,16-23,85,54,0,139,61.151,61.151,
8,0.990,Human UTI,23-5,104,32,5,141,76.471,73.759,
8,0.990,unknown,16-23,0,11,0,11,0.000,0.000,
8,0.990,unknown,23-5,3,8,0,11,27.273,27.273,
8,0.990,SLO Creek Water,16-23,0,817,59,876,0.000,0.000,
8,0.990,SLO Creek Water,23-5,0,1235,97,1332,0.000,0.000,
8,0.990,Pig/Swine,16-23,8,17,1,26,32.000,30.769,
8,0.990,Pig/Swine,23-5,10,13,2,25,43.478,40.000,
8,0.990,Klebsiella,16-23,0,0,0,0,NaN,NaN,
8,0.990,Klebsiella,23-5,0,0,0,0,NaN,NaN,
8,0.990,Hu Cw and Dg,16-23,16,14,0,30,53.333,53.333,
8,0.990,Hu Cw and Dg,23-5,16,14,0,30,53.333,53.333,
8,0.990,Ground Squirrel,16-23,97,66,11,174,59.509,55.747,
8,0.990,Ground Squirrel,23-5,89,83,5,177,51.744,50.282,
8,0.990,Opossum,16-23,1,5,0,6,16.667,16.667,
8,0.990,Opossum,23-5,2,4,0,6,33.333,33.333,
8,0.990,Cow,16-23,1491,238,60,1789,86.235,83.343,
8,0.990,Cow,23-5,1452,282,45,1779,83.737,81.619,
8,0.990,Deer Mouse,16-23,0,2,0,2,0.000,0.000,
8,0.990,Deer Mouse,23-5,0,2,0,2,0.000,0.000,
8,0.990,OVERALL,16-23,3755,2359,234,6348,61.416,59.152,
8,0.990,OVERALL,23-5,4361,2944,305,7610,59.699,57.306,
8,1.000,Chicken,16-23,0,0,40,40,NaN,0.000,
8,1.000,Chicken,23-5,0,0,42,42,NaN,0.000,
8,1.000,Sea Lion,16-23,0,0,2,2,NaN,0.000,
8,1.000,Sea Lion,23-5,0,0,4,4,NaN,0.000,
8,1.000,Hu and Cw,16-23,0,0,30,30,NaN,0.000,
8,1.000,Hu and Cw,23-5,0,0,30,30,NaN,0.000,
8,1.000,Sheep,16-23,0,0,104,104,NaN,0.000,
8,1.000,Sheep,23-5,0,0,98,98,NaN,0.000,
8,1.000,Hu and Dg,16-23,0,0,32,32,NaN,0.000,
8,1.000,Hu and Dg,23-5,0,0,30,30,NaN,0.000,
8,1.000,Common Loon,16-23,0,0,2,2,NaN,0.000,
8,1.000,Common Loon,23-5,0,0,2,2,NaN,0.000,
8,1.000,Red-Winged Blackbird,16-23,0,0,2,2,NaN,0.000,
8,1.000,Red-Winged Blackbird,23-5,0,0,2,2,NaN,0.000,
8,1.000,Cw,16-23,0,0,30,30,NaN,0.000,
8,1.000,Cw,23-5,0,0,30,30,NaN,0.000,
8,1.000,Cliff Sparrow,16-23,0,0,28,28,NaN,0.000,
8,1.000,Cliff Sparrow,23-5,0,0,29,29,NaN,0.000,
8,1.000,Pig,16-23,0,0,37,37,NaN,0.000,
8,1.000,Pig,23-5,0,0,34,34,NaN,0.000,
8,1.000,Barn Owl,16-23,0,0,0,0,NaN,NaN,
8,1.000,Barn Owl,23-5,0,0,2,2,NaN,0.000,
8,1.000,Wild Pig,16-23,0,0,17,17,NaN,0.000,
8,1.000,Wild Pig,23-5,0,0,10,10,NaN,0.000,
8,1.000,Pennington Creek Water,16-23,0,0,345,345,NaN,0.000,
8,1.000,Pennington Creek Water,23-5,0,0,465,465,NaN,0.000,
8,1.000,Guinni,16-23,0,0,0,0,NaN,NaN,
8,1.000,Guinni,23-5,0,0,2,2,NaN,0.000,
8,1.000,Racoon,16-23,0,0,2,2,NaN,0.000,
8,1.000,Racoon,23-5,0,0,3,3,NaN,0.000,
8,1.000,Hu,16-23,0,0,29,29,NaN,0.000,
8,1.000,Hu,23-5,0,0,31,31,NaN,0.000,
8,1.000,Cw and Dg,16-23,0,0,30,30,NaN,0.000,
8,1.000,Cw and Dg,23-5,0,0,30,30,NaN,0.000,
8,1.000,Red Wind Blackbird,16-23,0,0,2,2,NaN,0.000,
8,1.000,Red Wind Blackbird,23-5,0,0,2,2,NaN,0.000,
8,1.000,Tree Swallow,16-23,0,0,2,2,NaN,0.000,
8,1.000,Tree Swallow,23-5,0,0,2,2,NaN,0.000,
8,1.000,Turkey Vulture,16-23,0,0,2,2,NaN,0.000,
8,1.000,Turkey Vulture,23-5,0,0,3,3,NaN,0.000,
8,1.000,Dg,16-23,0,0,30,30,NaN,0.000,
8,1.000,Dg,23-5,0,0,30,30,NaN,0.000,
8,1.000,Western Kingbird,16-23,0,0,2,2,NaN,0.000,
8,1.000,Western Kingbird,23-5,0,0,2,2,NaN,0.000,
8,1.000,White Crowned Sparrow,16-23,0,0,15,15,NaN,0.000,
8,1.000,White Crowned Sparrow,23-5,0,0,15,15,NaN,0.000,
8,1.000,Eared Grebe,16-23,0,0,0,0,NaN,NaN,
8,1.000,Eared Grebe,23-5,0,0,4,4,NaN,0.000,
8,1.000,cougar,16-23,0,0,1,1,NaN,0.000,
8,1.000,cougar,23-5,0,0,1,1,NaN,0.000,
8,1.000,Ocean Water,16-23,0,0,0,0,NaN,NaN,
8,1.000,Ocean Water,23-5,0,0,10,10,NaN,0.000,
8,1.000,Red Tailed Hawk,16-23,0,0,2,2,NaN,0.000,
8,1.000,Red Tailed Hawk,23-5,0,0,3,3,NaN,0.000,
8,1.000,Dog,16-23,0,0,138,138,NaN,0.000,
8,1.000,Dog,23-5,0,0,189,189,NaN,0.000,
8,1.000,Human,16-23,0,0,1876,1876,NaN,0.000,
8,1.000,Human,23-5,0,0,2327,2327,NaN,0.000,
8,1.000,Wild Turkey,16-23,0,0,46,46,NaN,0.000,
8,1.000,Wild Turkey,23-5,0,0,39,39,NaN,0.000,
8,1.000,Clark Grebe,16-23,0,0,0,0,NaN,NaN,
8,1.000,Clark Grebe,23-5,0,0,2,2,NaN,0.000,
8,1.000,Seagull,16-23,0,0,0,0,NaN,NaN,
8,1.000,Seagull,23-5,0,0,67,67,NaN,0.000,
8,1.000,Surf Scoter,16-23,0,0,0,0,NaN,NaN,
8,1.000,Surf Scoter,23-5,0,0,2,2,NaN,0.000,
8,1.000,Pigeon,16-23,0,0,240,240,NaN,0.000,
8,1.000,Pigeon,23-5,0,0,291,291,NaN,0.000,
8,1.000,Pacific Ocean Water,16-23,0,0,46,46,NaN,0.000,
8,1.000,Pacific Ocean Water,23-5,0,0,50,50,NaN,0.000,
8,1.000,Cat,16-23,0,0,53,53,NaN,0.000,
8,1.000,Cat,23-5,0,0,63,63,NaN,0.000,
8,1.000,Horse,16-23,0,0,46,46,NaN,0.000,
8,1.000,Horse,23-5,0,0,87,87,NaN,0.000,
8,1.000,orangutan,16-23,0,0,1,1,NaN,0.000,
8,1.000,orangutan,23-5,0,0,1,1,NaN,0.000,
8,1.000,Bat,16-23,0,0,37,37,NaN,0.000,
8,1.000,Bat,23-5,0,0,38,38,NaN,0.000,
8,1.000,Deer,16-23,0,0,21,21,NaN,0.000,
8,1.000,Deer,23-5,0,0,22,22,NaN,0.000,
8,1.000,Great Horned Owl,16-23,0,0,3,3,NaN,0.000,
8,1.000,Great Horned Owl,23-5,0,0,7,7,NaN,0.000,
8,1.000,Freshwater Lagoon,16-23,0,0,0,0,NaN,NaN,
8,1.000,Freshwater Lagoon,23-5,0,0,4,4,NaN,0.000,
8,1.000,Unknown Avian,16-23,0,0,2,2,NaN,0.000,
8,1.000,Unknown Avian,23-5,0,0,2,2,NaN,0.000,
8,1.000,Human UTI,16-23,0,0,139,139,NaN,0.000,
8,1.000,Human UTI,23-5,0,0,141,141,NaN,0.000,
8,1.000,unknown,16-23,0,0,11,11,NaN,0.000,
8,1.000,unknown,23-5,0,0,11,11,NaN,0.000,
8,1.000,SLO Creek Water,16-23,0,0,876,876,NaN,0.000,
8,1.000,SLO Creek Water,23-5,0,0,1332,1332,NaN,0.000,
8,1.000,Pig/Swine,16-23,0,0,26,26,NaN,0.000,
8,1.000,Pig/Swine,23-5,0,0,25,25,NaN,0.000,
8,1.000,Klebsiella,16-23,0,0,0,0,NaN,NaN,
8,1.000,Klebsiella,23-5,0,0,0,0,NaN,NaN,
8,1.000,Hu Cw and Dg,16-23,0,0,30,30,NaN,0.000,
8,1.000,Hu Cw and Dg,23-5,0,0,30,30,NaN,0.000,
8,1.000,Ground Squirrel,16-23,0,0,174,174,NaN,0.000,
8,1.000,Ground Squirrel,23-5,0,0,177,177,NaN,0.000,
8,1.000,Opossum,16-23,0,0,6,6,NaN,0.000,
8,1.000,Opossum,23-5,0,0,6,6,NaN,0.000,
8,1.000,Cow,16-23,0,0,1789,1789,NaN,0.000,
8,1.000,Cow,23-5,0,0,1779,1779,NaN,0.000,
8,1.000,Deer Mouse,16-23,0,0,2,2,NaN,0.000,
8,1.000,Deer Mouse,23-5,0,0,2,2,NaN,0.000,
8,1.000,OVERALL,16-23,0,0,6348,6348,NaN,0.000,
8,1.000,OVERALL,23-5,0,0,7610,7610,NaN,0.000,
9,0.000,Chicken,16-23,0,40,0,40,0.000,0.000,
9,0.000,Chicken,23-5,8,34,0,42,19.048,19.048,
9,0.000,Sea Lion,16-23,0,2,0,2,0.000,0.000,
9,0.000,Sea Lion,23-5,1,3,0,4,25.000,25.000,
9,0.000,Hu and Cw,16-23,17,13,0,30,56.667,56.667,
9,0.000,Hu and Cw,23-5,7,23,0,30,23.333,23.333,
9,0.000,Sheep,16-23,51,53,0,104,49.038,49.038,
9,0.000,Sheep,23-5,58,40,0,98,59.184,59.184,
9,0.000,Hu and Dg,16-23,20,12,0,32,62.500,62.500,
9,0.000,Hu and Dg,23-5,20,10,0,30,66.667,66.667,
9,0.000,Common Loon,16-23,0,2,0,2,0.000,0.000,
9,0.000,Common Loon,23-5,0,2,0,2,0.000,0.000,
9,0.000,Red-Winged Blackbird,16-23,0,2,0,2,0.000,0.000,
9,0.000,Red-Winged Blackbird,23-5,0,2,0,2,0.000,0.000,
9,0.000,Cw,16-23,19,11,0,30,63.333,63.333,
9,0.000,Cw,23-5,22,8,0,30,73.333,73.333,
9,0.000,Cliff Sparrow,16-23,1,27,0,28,3.571,3.571,
9,0.000,Cliff Sparrow,23-5,0,29,0,29,0.000,0.000,
9,0.000,Pig,16-23,9,28,0,37,24.324,24.324,
9,0.000,Pig,23-5,6,28,0,34,17.647,17.647,
9,0.000,Barn Owl,16-23,0,0,0,0,NaN,NaN,
9,0.000,Barn Owl,23-5,0,2,0,2,0.000,0.000,
9,0.000,Wild Pig,16-23,1,16,0,17,5.882,5.882,
9,0.000,Wild Pig,23-5,0,10,0,10,0.000,0.000,
9,0.000,Pennington Creek Water,16-23,0,345,0,345,0.000,0.000,
9,0.000,Pennington Creek Water,23-5,0,465,0,465,0.000,0.000,
9,0.000,Guinni,16-23,0,0,0,0,NaN,NaN,
9,0.000,Guinni,23-5,0,2,0,2,0.000,0.000,
9,0.000,Racoon,16-23,0,2,0,2,0.000,0.000,
9,0.000,Racoon,23-5,0,3,0,3,0.000,0.000,
9,0.000,Hu,16-23,22,7,0,29,75.862,75.862,
9,0.000,Hu,23-5,20,11,0,31,64.516,64.516,
9,0.000,Cw and Dg,16-23,2,28,0,30,6.667,6.667,
9,0.000,Cw and Dg,23-5,18,12,0,30,60.000,60.000,
9,0.000,Red Wind Blackbird,16-23,0,2,0,2,0.000,0.000,
9,0.000,Red Wind Blackbird,23-5,0,2,0,2,0.000,0.000,
9,0.000,Tree Swallow,16-23,0,2,0,2,0.000,0.000,
9,0.000,Tree Swallow,23-5,0,2,0,2,0.000,0.000,
9,0.000,Turkey Vulture,16-23,0,2,0,2,0.000,0.000,
9,0.000,Turkey Vulture,23-5,0,3,0,3,0.000,0.000,
9,0.000,Dg,16-23,6,24,0,30,20.000,20.000,
9,0.000,Dg,23-5,27,3,0,30,90.000,90.000,
9,0.000,Western Kingbird,16-23,0,2,0,2,0.000,0.000,
9,0.000,Western Kingbird,23-5,0,2,0,2,0.000,0.000,
9,0.000,White Crowned Sparrow,16-23,0,15,0,15,0.000,0.000,
9,0.000,White Crowned Sparrow,23-5,1,14,0,15,6.667,6.667,
9,0.000,Eared Grebe,16-23,0,0,0,0,NaN,NaN,
9,0.000,Eared Grebe,23-5,0,4,0,4,0.000,0.000,
9,0.000,cougar,16-23,0,1,0,1,0.000,0.000,
9,0.000,cougar,23-5,0,1,0,1,0.000,0.000,
9,0.000,Ocean Water,16-23,0,0,0,0,NaN,NaN,
9,0.000,Ocean Water,23-5,0,10,0,10,0.000,0.000,
9,0.000,Red Tailed Hawk,16-23,0,2,0,2,0.000,0.000,
9,0.000,Red Tailed Hawk,23-5,0,3,0,3,0.000,0.000,
9,0.000,Dog,16-23,58,80,0,138,42.029,42.029,
9,0.000,Dog,23-5,95,94,0,189,50.265,50.265,
9,0.000,Human,16-23,1692,184,0,1876,90.192,90.192,
9,0.000,Human,23-5,2154,173,0,2327,92.566,92.566,
9,0.000,Wild Turkey,16-23,2,44,0,46,4.348,4.348,
9,0.000,Wild Turkey,23-5,0,39,0,39,0.000,0.000,
9,0.000,Clark Grebe,16-23,0,0,0,0,NaN,NaN,
9,0.000,Clark Grebe,23-5,0,2,0,2,0.000,0.000,
9,0.000,Seagull,16-23,0,0,0,0,NaN,NaN,
9,0.000,Seagull,23-5,5,62,0,67,7.463,7.463,
9,0.000,Surf Scoter,16-23,0,0,0,0,NaN,NaN,
9,0.000,Surf Scoter,23-5,0,2,0,2,0.000,0.000,
9,0.000,Pigeon,16-23,56,184,0,240,23.333,23.333,
9,0.000,Pigeon,23-5,91,200,0,291,31.271,31.271,
9,0.000,Pacific Ocean Water,16-23,0,46,0,46,0.000,0.000,
9,0.000,Pacific Ocean Water,23-5,0,50,0,50,0.000,0.000,
9,0.000,Cat,16-23,19,34,0,53,35.849,35.849,
9,0.000,Cat,23-5,21,42,0,63,33.333,33.333,
9,0.000,Horse,16-23,7,39,0,46,15.217,15.217,
9,0.000,Horse,23-5,31,56,0,87,35.632,35.632,
9,0.000,orangutan,16-23,0,1,0,1,0.000,0.000,
9,0.000,orangutan,23-5,0,1,0,1,0.000,0.000,
9,0.000,Bat,16-23,36,1,0,37,97.297,97.297,
9,0.000,Bat,23-5,37,1,0,38,97.368,97.368,
9,0.000,Deer,16-23,15,6,0,21,71.429,71.429,
9,0.000,Deer,23-5,18,4,0,22,81.818,81.818,
9,0.000,Great Horned Owl,16-23,0,3,0,3,0.000,0.000,
9,0.000,Great Horned Owl,23-5,0,7,0,7,0.000,0.000,
9,0.000,Freshwater Lagoon,16-23,0,0,0,0,NaN,NaN,
9,0.000,Freshwater Lagoon,23-5,0,4,0,4,0.000,0.000,
