k,alpha,species,applied-region,Successes,Failures,NonDecisions,Total,DecisionAccuracy,OverallAccuracy
1 , 0.900 , Wild Turkey , 16-23 , 0 , 46 , 0 , 46 , 0.000 , 0.000
1 , 0.900 , Wild Turkey , 23-5 , 0 , 39 , 0 , 39 , 0.000 , 0.000
1 , 0.900 , Turkey Vulture , 16-23 , 0 , 2 , 0 , 2 , 0.000 , 0.000
1 , 0.900 , Turkey Vulture , 23-5 , 0 , 4 , 0 , 4 , 0.000 , 0.000
1 , 0.900 , Cat , 16-23 , 0 , 68 , 0 , 68 , 0.000 , 0.000
1 , 0.900 , Cat , 23-5 , 0 , 67 , 0 , 67 , 0.000 , 0.000
1 , 0.900 , Sheep , 16-23 , 0 , 112 , 0 , 112 , 0.000 , 0.000
1 , 0.900 , Sheep , 23-5 , 0 , 104 , 0 , 104 , 0.000 , 0.000
1 , 0.900 , Chicken , 16-23 , 0 , 40 , 0 , 40 , 0.000 , 0.000
1 , 0.900 , Chicken , 23-5 , 0 , 42 , 0 , 42 , 0.000 , 0.000
1 , 0.900 , Opossum , 16-23 , 0 , 6 , 0 , 6 , 0.000 , 0.000
1 , 0.900 , Opossum , 23-5 , 0 , 6 , 0 , 6 , 0.000 , 0.000
1 , 0.900 , OVERALL , 16-23 , 24 , 5429 , 0 , 5453 , 0.004 , 0.004
1 , 0.900 , OVERALL , 23-5 , 27 , 6145 , 0 , 6172 , 0.004 , 0.004
1 , 0.950 , Cw and Dg , 16-23 , 0 , 30 , 0 , 30 , 0.000 , 0.000
1 , 0.950 , Cw and Dg , 23-5 , 0 , 30 , 0 , 30 , 0.000 , 0.000
1 , 0.950 , Sea Lion , 16-23 , 0 , 2 , 0 , 2 , 0.000 , 0.000
1 , 0.950 , Sea Lion , 23-5 , 0 , 4 , 0 , 4 , 0.000 , 0.000
1 , 0.950 , Cliff Sparrow , 16-23 , 0 , 28 , 0 , 28 , 0.000 , 0.000
1 , 0.950 , Cliff Sparrow , 23-5 , 0 , 29 , 0 , 29 , 0.000 , 0.000
1 , 0.950 , Great Horned Owl , 16-23 , 0 , 3 , 0 , 3 , 0.000 , 0.000
1 , 0.950 , Great Horned Owl , 23-5 , 0 , 8 , 0 , 8 , 0.000 , 0.000
1 , 0.950 , unknown , 16-23 , 0 , 11 , 0 , 11 , 0.000 , 0.000
1 , 0.950 , unknown , 23-5 , 0 , 11 , 0 , 11 , 0.000 , 0.000
1 , 0.950 , White Crowned Sparrow , 16-23 , 0 , 15 , 0 , 15 , 0.000 , 0.000
1 , 0.950 , White Crowned Sparrow , 23-5 , 0 , 15 , 0 , 15 , 0.000 , 0.000
1 , 0.950 , Common Loon , 16-23 , 0 , 2 , 0 , 2 , 0.000 , 0.000
1 , 0.950 , Common Loon , 23-5 , 0 , 4 , 0 , 4 , 0.000 , 0.000
1 , 0.950 , Cw , 16-23 , 0 , 30 , 0 , 30 , 0.000 , 0.000
1 , 0.950 , Cw , 23-5 , 0 , 31 , 0 , 31 , 0.000 , 0.000
1 , 0.950 , Red Tailed Hawk , 16-23 , 0 , 2 , 0 , 2 , 0.000 , 0.000
1 , 0.950 , Red Tailed Hawk , 23-5 , 0 , 4 , 0 , 4 , 0.000 , 0.000
1 , 0.950 , Horse , 16-23 , 0 , 46 , 0 , 46 , 0.000 , 0.000
1 , 0.950 , Horse , 23-5 , 0 , 87 , 0 , 87 , 0.000 , 0.000
1 , 0.950 , Seagull , 16-23 , 0 , 0 , 0 , 0 , NaN , NaN
1 , 0.950 , Seagull , 23-5 , 0 , 92 , 0 , 92 , 0.000 , 0.000
1 , 0.950 , Dog , 16-23 , 3 , 139 , 0 , 142 , 0.021 , 0.021
1 , 0.950 , Dog , 23-5 , 0 , 213 , 0 , 213 , 0.000 , 0.000
1 , 0.950 , Human , 16-23 , 0 , 2078 , 0 , 2078 , 0.000 , 0.000
1 , 0.950 , Human , 23-5 , 0 , 2481 , 0 , 2481 , 0.000 , 0.000
1 , 0.950 , Hu and Cw , 16-23 , 4 , 26 , 0 , 30 , 0.133 , 0.133
1 , 0.950 , Hu and Cw , 23-5 , 0 , 30 , 0 , 30 , 0.000 , 0.000
1 , 0.950 , Dg , 16-23 , 0 , 30 , 0 , 30 , 0.000 , 0.000
1 , 0.950 , Dg , 23-5 , 0 , 30 , 0 , 30 , 0.000 , 0.000
1 , 0.950 , Human UTI , 16-23 , 0 , 139 , 0 , 139 , 0.000 , 0.000
1 , 0.950 , Human UTI , 23-5 , 0 , 141 , 0 , 141 , 0.000 , 0.000
1 , 0.950 , Pig/Swine , 16-23 , 0 , 27 , 0 , 27 , 0.000 , 0.000
1 , 0.950 , Pig/Swine , 23-5 , 0 , 25 , 0 , 25 , 0.000 , 0.000
1 , 0.950 , Red-Winged Blackbird , 16-23 , 0 , 2 , 0 , 2 , 0.000 , 0.000
1 , 0.950 , Red-Winged Blackbird , 23-5 , 0 , 3 , 0 , 3 , 0.000 , 0.000
1 , 0.950 , Racoon , 16-23 , 0 , 2 , 0 , 2 , 0.000 , 0.000
1 , 0.950 , Racoon , 23-5 , 0 , 4 , 0 , 4 , 0.000 , 0.000
1 , 0.950 , Wild Pig , 16-23 , 0 , 17 , 0 , 17 , 0.000 , 0.000
1 , 0.950 , Wild Pig , 23-5 , 1 , 11 , 0 , 12 , 0.083 , 0.083
1 , 0.950 , Cow , 16-23 , 8 , 1859 , 0 , 1867 , 0.004 , 0.004
1 , 0.950 , Cow , 23-5 , 18 , 1896 , 0 , 1914 , 0.009 , 0.009
1 , 0.950 , Hu , 16-23 , 0 , 30 , 0 , 30 , 0.000 , 0.000
1 , 0.950 , Hu , 23-5 , 1 , 31 , 0 , 32 , 0.031 , 0.031
1 , 0.950 , Hu Cw and Dg , 16-23 , 0 , 30 , 0 , 30 , 0.000 , 0.000
1 , 0.950 , Hu Cw and Dg , 23-5 , 1 , 29 , 0 , 30 , 0.033 , 0.033
1 , 0.950 , Hu and Dg , 16-23 , 5 , 28 , 0 , 33 , 0.152 , 0.152
1 , 0.950 , Hu and Dg , 23-5 , 2 , 31 , 0 , 33 , 0.061 , 0.061
1 , 0.950 , Pigeon , 16-23 , 0 , 285 , 0 , 285 , 0.000 , 0.000
1 , 0.950 , Pigeon , 23-5 , 0 , 354 , 0 , 354 , 0.000 , 0.000
1 , 0.950 , Deer , 16-23 , 0 , 22 , 0 , 22 , 0.000 , 0.000
1 , 0.950 , Deer , 23-5 , 0 , 22 , 0 , 22 , 0.000 , 0.000
1 , 0.950 , Pig , 16-23 , 4 , 33 , 0 , 37 , 0.108 , 0.108
1 , 0.950 , Pig , 23-5 , 3 , 31 , 0 , 34 , 0.088 , 0.088
1 , 0.950 , Bat , 16-23 , 0 , 37 , 0 , 37 , 0.000 , 0.000
1 , 0.950 , Bat , 23-5 , 0 , 38 , 0 , 38 , 0.000 , 0.000
1 , 0.950 , Ground Squirrel , 16-23 , 0 , 202 , 0 , 202 , 0.000 , 0.000
1 , 0.950 , Ground Squirrel , 23-5 , 0 , 199 , 0 , 199 , 0.000 , 0.000
1 , 0.950 , Wild Turkey , 16-23 , 0 , 46 , 0 , 46 , 0.000 , 0.000
1 , 0.950 , Wild Turkey , 23-5 , 0 , 39 , 0 , 39 , 0.000 , 0.000
1 , 0.950 , Turkey Vulture , 16-23 , 0 , 2 , 0 , 2 , 0.000 , 0.000
1 , 0.950 , Turkey Vulture , 23-5 , 0 , 4 , 0 , 4 , 0.000 , 0.000
1 , 0.950 , Cat , 16-23 , 0 , 68 , 0 , 68 , 0.000 , 0.000
1 , 0.950 , Cat , 23-5 , 0 , 67 , 0 , 67 , 0.000 , 0.000
1 , 0.950 , Sheep , 16-23 , 0 , 112 , 0 , 112 , 0.000 , 0.000
1 , 0.950 , Sheep , 23-5 , 0 , 104 , 0 , 104 , 0.000 , 0.000
1 , 0.950 , Chicken , 16-23 , 0 , 40 , 0 , 40 , 0.000 , 0.000
1 , 0.950 , Chicken , 23-5 , 0 , 42 , 0 , 42 , 0.000 , 0.000
1 , 0.950 , Opossum , 16-23 , 0 , 6 , 0 , 6 , 0.000 , 0.000
1 , 0.950 , Opossum , 23-5 , 0 , 6 , 0 , 6 , 0.000 , 0.000
